Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
  svchost.exe		2,244 K	12,260 K	1376	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,668 K	6,636 K	1384	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,948 K	7,712 K	1392	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	0.01	15,356 K	18,156 K	1400	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,956 K	8,284 K	1536	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,604 K	11,492 K	1576	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,644 K	7,456 K	1600	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,332 K	9,728 K	1608	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,420 K	7,184 K	1636	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		5,104 K	9,144 K	1700	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,980 K	7,268 K	1752	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,776 K	10,992 K	1832	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,208 K	8,012 K	1848	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	0.04	3,472 K	14,184 K	1872	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,636 K	8,416 K	2012	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	0.30	11,348 K	19,892 K	2020	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,704 K	6,232 K	1680	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,336 K	9,584 K	1708	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,988 K	12,024 K	2080	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,836 K	7,288 K	2160	Host Process for Windows Services	Microsoft Corporation
  spoolsv.exe		5,200 K	14,636 K	2256	Spooler SubSystem App	Microsoft Corporation
  svchost.exe	0.39	11,156 K	23,764 K	2316	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,932 K	7,936 K	2348	Host Process for Windows Services	Microsoft Corporation
  armsvc.exe		1,376 K	6,772 K	2524	Adobe Acrobat Update Service	Adobe Systems
  svchost.exe		7,256 K	17,304 K	2532	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		13,340 K	28,864 K	2544	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	0.07	25,112 K	33,728 K	2564	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	0.07	7,448 K	17,472 K	2580	Host Process for Windows Services	Microsoft Corporation
